date,strain,value
2023-01-04T00:00:00Z,las_i,2.533910203
2023-01-04T00:00:00Z,pos_cont,6.034136812
2023-01-04T00:00:00Z,ppk1,71.69589677
2023-01-04T00:00:00Z,ppx,105.1261521
2023-01-04T00:00:00Z,wt,98.14831006
2023-01-05T00:00:00Z,las_i,3.745105475
2023-01-05T00:00:00Z,pos_cont,13.16459384
2023-01-05T00:00:00Z,ppk1,20.37418083
2023-01-05T00:00:00Z,ppx,50.87176032
2023-01-05T00:00:00Z,wt,36.78982307
2023-01-19T00:00:00Z,las_i,1.652780295
2023-01-19T00:00:00Z,pos_cont,8.094582282
2023-01-19T00:00:00Z,ppk1,4.726593146
2023-01-19T00:00:00Z,ppx,3.184998424
2023-01-19T00:00:00Z,wt,9.224637667
2023-01-20T00:00:00Z,las_i,1.861155163
2023-01-20T00:00:00Z,pos_cont,10.91832162
2023-01-20T00:00:00Z,ppk1,28.21534074
2023-01-20T00:00:00Z,ppx,35.25939253
2023-01-20T00:00:00Z,wt,39.39271001
2023-01-21T00:00:00Z,las_i,2.270500542
2023-01-21T00:00:00Z,pos_cont,10.9821426
2023-01-21T00:00:00Z,ppk1,16.97452235
2023-01-21T00:00:00Z,ppx,27.94549393
2023-01-21T00:00:00Z,wt,10.85294129
2023-01-23T00:00:00Z,las_i,4.293449801
2023-01-23T00:00:00Z,pos_cont,1.821747785
2023-01-23T00:00:00Z,ppk1,22.97920147
2023-01-23T00:00:00Z,ppx,60.7036424
2023-01-23T00:00:00Z,wt,28.59199859
2023-01-25T00:00:00Z,las_i,3.621350795
2023-01-25T00:00:00Z,pos_cont,27.19708888
2023-01-25T00:00:00Z,ppk1,14.5050067
2023-01-25T00:00:00Z,ppx,12.23556695
2023-01-25T00:00:00Z,wt,44.13366317
2023-01-26T00:00:00Z,las_i,2.680781723
2023-01-26T00:00:00Z,pos_cont,10.90760516
2023-01-26T00:00:00Z,ppk1,14.06881591
2023-01-26T00:00:00Z,ppx,17.96638484
2023-01-26T00:00:00Z,wt,21.96152821
